k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
88,0,0,0.496213928,0,0,0.996213928,0.333333333,0.666666667,0.325547241,0.666666667,0.333333333,0.825547241,0.666666667,0.333333333,0.223028564,0.333333333,0.666666667,0.723028564
89,0.125,0.125,0.125,0.625,0.125,0.125,0.125,0.625,0.125,0.125,0.125,0.625,0.5,0.5,0.5,0.75,0.75,0.75
90,0.333333333,0.666666667,0.25,0.666666667,0.333333333,0.75,0,0,0,0,0,0.5,0.666666667,0.333333333,0.25,0.333333333,0.666666667,0.75
91,0.666666667,0.333333333,0,0.333333333,0.666666667,0,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0
92,0.354428106,0.354428106,0.063375752,0.795866265,0.795866265,0.385265198,0.204133735,0.204133735,0.614734802,0.645571894,0.645571894,0.936624248,0.062772349,0.062772349,0.187080227,0.937227651,0.937227651,0.812919773
93,0.319466737,0.319466737,0,0.680533263,0.680533263,0,0.5,0,0.5,0,0.5,0.5,0.133503351,0.133503351,0,0.866496649,0.866496649,0
94,0,0,0.005702923,0.5,0.5,0.505702923,0.205638,0.375288729,0.006049182,0.794362,0.624711271,0.006049182,0.705638,0.124711271,0.506049182,0.294362,0.875288729,0.506049182
95,0,0,0,0.5,0.5,0.5,0.124716773,0.407733603,0,0.875283227,0.592266397,0,0.624716773,0.092266397,0.5,0.375283227,0.907733603,0.5
96,0.5,0.5,0.322718745,0,0,0.677281255,0,0,0.071344326,0.5,0.5,0.928655674,0,0.5,0.080213098,0.5,0,0.919786902
97,0,0,0,0.5,0.5,0,0,0.5,0.327864102,0.5,0,0.672135898,0.5,0,0.186644391,0,0.5,0.813355609
98,0.875525267,0.875525267,0.373424199,0.875525267,0.373424199,0.875525267,0.373424199,0.875525267,0.875525267,0.875525267,0.875525267,0.875525267,0.25,0.25,0.25,0.5,0.5,0.5
99,0.5,0,0.114145031,0,0.5,0.885854969,0,0,0.347042833,0.5,0.5,0.652957167,0,0.5,0.405025556,0.5,0,0.594974444
100,0,0.5,0.166430923,0.5,0,0.833569077,0.5,0,0.367086996,0,0.5,0.632913004,0,0,0,0.5,0.5,0
101,0,0,0,0.5,0.5,0.5,0.2269502,0.361943963,0,0.7730498,0.638056037,0,0.7269502,0.138056037,0.5,0.2730498,0.861943963,0.5
102,0.666666667,0.333333333,0.173104668,0.333333333,0.666666667,0.673104668,0.666666667,0.333333333,0.495715988,0.333333333,0.666666667,0.995715988,0,0,0.276278596,0,0,0.776278596
103,0.333826061,0.666173939,0.064419592,0.333826061,0.666173939,0.435580408,0.666173939,0.333826061,0.564419592,0.666173939,0.333826061,0.935580408,0,0,0,0,0,0.5
104,0.333333333,0.666666667,0.25,0.666666667,0.333333333,0.75,0,0,0,0.666666667,0.333333333,0.25,0,0,0.5,0.333333333,0.666666667,0.75
105,0.833917616,0.166082384,0,0.166082384,0.833917616,0,0.5,0.5,0,0,0,0.5,0.5,0,0.5,0,0.5,0.5
106,0.333333333,0.666666667,0.25,0.666666667,0.333333333,0.75,0,0,0,0,0,0.5,0.666666667,0.333333333,0.25,0.333333333,0.666666667,0.75
107,0.666666667,0.333333333,0.25,0.333333333,0.666666667,0.75,0.333333333,0.666666667,0.25,0.666666667,0.333333333,0.75,0,0,0,0,0,0.5
108,0,0,0,0.5,0.5,0.5,0.110744549,0.412724002,0,0.889255451,0.587275998,0,0.610744549,0.087275998,0.5,0.389255451,0.912724002,0.5
109,0,0.5,0.373762984,0.5,0,0.626237016,0,0,0,0.5,0.5,0,0.5,0,0.180264825,0,0.5,0.819735175
110,0,0,0,0.874201701,0.3752661,0.3752661,0.3752661,0.874201701,0.3752661,0.3752661,0.3752661,0.3752661,0.3752661,0.3752661,0.874201701,0.75,0.75,0.75
111,0,0,0,0.666666667,0.333333333,0,0.333333333,0.666666667,0,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5
112,0.12357592,0.12357592,0,0.87642408,0.87642408,0,0.323629897,0.323629897,0,0.676370103,0.676370103,0,0.5,0,0.5,0,0.5,0.5
113,0,0.5,0.345350626,0.5,0,0.654649374,0,0,0,0.5,0.5,0,0.5,0,0.14727872,0,0.5,0.85272128
114,0.333333333,0.666666667,0.315383274,0.666666667,0.333333333,0.684616726,0.666666667,0.333333333,0.358173144,0,0,0.5,0.333333333,0.666666667,0.641826856,0,0,0
115,0,0.5,0.360136696,0.5,0,0.639863304,0,0,0,0.5,0.5,0,0.5,0,0.160964616,0,0.5,0.839035384
116,0,0.5,0.329799224,0.5,0,0.670200776,0,0,0,0.5,0.5,0,0.5,0,0.198992268,0,0.5,0.801007732
117,0.320505596,0.320505596,0,0.679494404,0.679494404,0,0.5,0,0.5,0,0.5,0.5,0.13769627,0.13769627,0,0.86230373,0.86230373,0
118,0,0,0,0.5,0.5,0,0,0.5,0.314967241,0.5,0,0.685032759,0.5,0,0.160446033,0,0.5,0.839553967
119,0.5,0,0.5,0,0.5,0.5,0.124034224,0.124034224,0,0.875965776,0.875965776,0,0.322969306,0.322969306,0,0.677030694,0.677030694,0
120,0.333333333,0.666666667,0.25,0.666666667,0.333333333,0.75,0.666666667,0.333333333,0.25,0.333333333,0.666666667,0.75,0,0,0,0,0,0.5
121,0,0.5,0.194347151,0.5,0,0.805652849,0.5,0,0.315395812,0,0.5,0.684604188,0,0,0,0.5,0.5,0
122,0.5,0.5,0.5,0.75,0.75,0.75,0.125,0.125,0.125,0.625,0.125,0.125,0.125,0.625,0.125,0.125,0.125,0.625
